idItem,name,tags,price,rating,numRatings,address,phone
1,Vinería San Telmo,"Tapas Bars, Wine Bars",€€,4.0,120,"Paseo de Catalina de Ribera, 4 41004 Seville Spain",+34954410600
2,Milonguitas,"Steakhouses, Argentine, Burgers",€€,4.5,45,"Calle Tomas de Ibarra, 2 41001 Seville Spain",+34954210954
3,Catalina,Tapas Bars,€€,4.0,51,"Paseo de Catalina de Ribera, 4 41004 Seville Spain",+34954412412
4,Eslava,"Tapas Bars, Spanish",€€,4.5,276,"Calle Eslava, 3 41002 Seville Spain",+34954906568
5,El Rinconcillo,"Spanish, Tapas Bars, Andalusian",€€,4.0,153,"Calle Gerona, 40 41003 Seville Spain",+34954223183
6,La Azotea,"Tapas Bars, Modern European",€€,4.5,101,"Calle Jesús del Gran Poder, 31 41001 Seville Spain",+34955116748
7,El Rincón de Beirut,"Tapas Bars, Halal, Lebanese",€€,4.5,87,"Calle San Fernando, 21 41002 Seville Spain",+34955118707
8,Taberna Coloniales,"Spanish, Tapas/Small Plates, Tapas Bars",€,4.0,133,"Plaza Cristo de Burgos, 19 41003 Seville Spain",+34954501137
9,Mamarracha,"Spanish, Tapas Bars",€€,4.5,86,"Calle Hernando Colón, 1 41004 Seville Spain",+34955123911
10,Perro Viejo,"Tapas Bars, Signature Cuisine",€€,4.0,104,"Calle Arguijo, 3 41003 Seville Spain",+34955440030
11,Ovejas Negras,Tapas Bars,€€,4.5,135,"Calle Hernando Colón, 8 41004 Seville Spain",+34955123811
12,La Azotea,"Spanish, Tapas Bars",€€,4.0,71,"Calle Mateos Gago, 8 41004 Seville Spain",+34954215878
13,Ostería L'Oca Giuliva,Italian,€€,4.5,122,"Calle Mateos Gago, 9 41004 Seville Spain",+34954214030
14,Viriato,"Sports Bars, Gastropubs, Breakfast & Brunch",€,4.5,39,"Calle Madre Maria de la  Purísima, 7 41003 Seville Spain",+34954228803
15,El Pasaje Bar,"Tapas Bars, Cocktail Bars",€€,4.5,76,"Pasaje de Vila, 8-10 41004 Seville Spain",+34619294540
16,El Pintón,"Tapas Bars, Spanish",€€,4.0,91,"Calle Francos, 42 41004 Seville Spain",+34955075153
17,Alwadi,"Middle Eastern, Arabic, Moroccan",empty,4.5,54,"Calle Jimios, 25-32 41001 Seville Spain",+34955122619
18,La Bartola,"Tapas Bars, Mediterranean",€€,4.5,104,"Calle San José, 24 41004 Seville Spain",+34955271978
19,La Azotea,Spanish,€€,4.5,65,"Calle Zaragoza, 5C 41001 Seville Spain",+34671496579
20,Maquila,"Gastropubs, Tapas Bars, Beer Bar",€€,4.5,46,"Calle Delgado, 4 41002 Seville Spain",+34955182320
21,Edición Limitada Espacio Gastronómico,"Signature Cuisine, Tapas Bars, Modern European",€€,4.5,30,"Calle Conde de Barajas, 20 41002 Seville Spain",+34955513463
22,The Merchant,"Sports Bars, Burgers",€,4.5,55,"Calle Canalejas, 12 41001 Seville Spain",+34954223228
23,El Traga,Tapas Bars,€€,4.5,38,"Calle Águilas, 6 41004 Seville Spain",+34854521494
24,Casablanca,"Spanish, Mediterranean",€€,4.5,35,"Calle Adolfo Rodríguez Jurado, 12 41001 Seville Spain",+34954224114
25,El Colmado,"Tapas Bars, Breakfast & Brunch",€,4.5,65,"Plaza de Ponce de León, 5 41003 Seville Spain",+34633238589
26,La Brunilda,Tapas Bars,€€,4.5,184,"Calle Galera, 5 41001 Seville Spain",+34954220481
27,Tradevo De Mar,"Tapas Bars, Modern European, Gastropubs",€€€,4.5,22,"Calle Juan de Mata Carriazo, 6 41018 Seville Spain",+34854806173
28,La Cantina Mexicana,Mexican,€,4.5,51,"Calle Francos, 14 41004 Seville Spain",+34954218975
29,Casa del Tesorero,"Italian, Mediterranean, Spanish",€€,4.5,32,"Calle Santander, 1 41001 Seville Spain",+34954503921
30,El Comercio,"Tapas Bars, Breakfast & Brunch",€,4.5,82,"Calle Lineros, 9 41004 Seville Spain",+34954221877
31,Estrella,"Spanish, Tapas/Small Plates",€€,4.0,44,"Calle Estrella, 3 41004 Seville Spain",+34954219325
32,La Piemontesa,"Pizza, Italian",€€,4.5,41,"Calle Marqués de Paradas, 36 41001 Seville Spain",+34954219381
33,Don Juan de Alemanes,"Tapas Bars, Signature Cuisine",€€,4.0,46,"Calle Alemanes, 7 41001 Seville Spain",+34954563232
34,El Pasaje,"Spanish, Tapas Bars",€€,5.0,10,"Calle Ximénez de Enciso, 33 41004 Seville Spain",+34954217778
35,Bar Agustin & Company,Tapas Bars,€€,4.5,23,"Calle Álvarez Quintero, 3 41004 Seville Spain",+34954228181
36,La Gallina Bianca,Italian,€€,4.5,27,"Calle Santa Maria la Blanca, 15 41004 Seville Spain",+34954988267
